j	Miserables.txt 16
ja	Miserables.txt 1
jabber	Miserables.txt 2
jabbering	Miserables.txt 1
jaceo	Miserables.txt 1
jack	Miserables.txt 8
jackal	Miserables.txt 3
jacket	Miserables.txt 3
jackets	Miserables.txt 1
jacob	Miserables.txt 3
jacobin	Miserables.txt 6
jacobinism	Miserables.txt 2
jacobins	Miserables.txt 4
jacobite	Miserables.txt 1
jacqueline	Miserables.txt 1
jacquerie	Miserables.txt 5
jacqueries	Miserables.txt 2
jacques	Miserables.txt 35
jacquesdu	Miserables.txt 4
jacquin	Miserables.txt 5
jacquot	Miserables.txt 2
jade	Miserables.txt 12
jades	Miserables.txt 4
jadis	Miserables.txt 1
jaffa	Miserables.txt 1
jagged	Miserables.txt 1
jail	Miserables.txt 4
jailer	Miserables.txt 2
jailers	Miserables.txt 2
jam	Miserables.txt 1
jamb	Miserables.txt 2
jambe	Miserables.txt 2
james	Miserables.txt 1
jammed	Miserables.txt 1
janiculum	Miserables.txt 1
janot	Miserables.txt 1
jansenist	Miserables.txt 1
januarius	Miserables.txt 2
january	Miserables.txt 11
japanese	Miserables.txt 2
japon	Miserables.txt 1
jar	Miserables.txt 1
jardin	Miserables.txt 14
jardins	Miserables.txt 1
jargon	Miserables.txt 5
jargons	Miserables.txt 1
jasmines	Miserables.txt 2
jasper	Miserables.txt 1
jaspine	Miserables.txt 1
jaunts	Miserables.txt 1
jausion	Miserables.txt 1
jauziers	Miserables.txt 1
javert	Miserables.txt 468
javottes	Miserables.txt 1
jaw	Miserables.txt 5
jaws	Miserables.txt 5
jaxa	Miserables.txt 1
je	Miserables.txt 31
jealous	Miserables.txt 13
jealousies	Miserables.txt 1
jealously	Miserables.txt 1
jealousy	Miserables.txt 10
jean	Miserables.txt 1237
jeanne	Miserables.txt 18
jeannette	Miserables.txt 1
jeered	Miserables.txt 4
jeering	Miserables.txt 2
jeers	Miserables.txt 1
jehan	Miserables.txt 1
jehovah	Miserables.txt 4
jehu	Miserables.txt 1
jemappes	Miserables.txt 1
